Date,accountCAD,accountUSD,accountUSD_CADHDG,portfolio
2017-05-08,75858.73668579807,59270.7585141969,81030.83452487201,156889.57121067008
2017-05-09,75921.39221204456,59306.097482208716,81211.98974092717,157133.38195297174
2017-05-10,76087.77505791996,59462.12966026525,81504.74122739909,157592.51628531906
2017-05-11,76027.8729453886,59393.303194329106,81432.37783513758,157460.2507805262
2017-05-12,76167.37980155423,59562.13408492833,81623.35635726662,157790.73615882086
2017-05-15,76376.55546519917,59794.42450876304,82023.60040509512,158400.1558702943
2017-05-16,76271.18281517224,59917.328689320784,81657.1356244685,157928.31843964075
2017-05-17,75589.81690554858,59457.058923918245,80934.73325573334,156524.55016128192
2017-05-18,75523.13923030513,59382.25393365379,80753.3323594911,156276.47158979625
2017-05-19,75946.8264202685,59799.42597531009,81348.14988970406,157294.97630997255
2017-05-22,75946.8264202685,59898.090699459164,80959.45488804756,156906.28130831604
2017-05-23,76049.51918059893,59874.59942125209,80782.21059673213,156831.72977733106
2017-05-24,75984.75264529882,59993.796973136035,81118.81527389085,157103.5679191897
2017-05-25,76168.4442895066,60095.68751980837,80605.74453921616,156774.18882872275
2017-05-26,76156.7601845974,60087.56983822919,81018.47598778957,157175.23617238697
2017-05-29,76253.87541541364,60087.56983822919,80838.2120175875,157092.08743300114
2017-05-30,76063.16787186378,60082.39746202032,80951.4166607588,157014.5845326226
2017-05-31,76006.96995796199,60048.90070005205,80887.07202375225,156894.04198171425
2017-06-01,76435.61951337988,60352.08115217963,81417.37345458973,157852.99296796962
2017-06-02,76578.40611436602,60657.09724240292,81981.098748291,158559.50486265702
2017-06-05,76420.66306219812,60516.41721208734,81687.48333130684,158108.14639350495
2017-06-06,76399.76274746217,60480.322067772126,81513.56220132516,157913.32494878734
2017-06-07,76295.29379922598,60454.0790127185,81308.31655460745,157603.6103538334
2017-06-08,76400.3847186241,60448.98659049334,81669.60449758868,158069.98921621277
2017-06-09,76321.90602175693,60320.653009890986,81566.19291253985,157888.09893429678
2017-06-12,75941.04392778999,60249.69211726394,81072.58956823246,157013.63349602243
2017-06-13,75986.2357418882,60493.0365719369,80524.7032038349,156510.93894572312
2017-06-14,75865.60165169583,60552.22733728893,80173.57443068619,156039.17608238204
2017-06-15,75674.113804,60238.65972119501,79769.83769241211,155443.9514964121
2017-06-16,75811.70909533327,60372.289173080804,80029.50822055567,155841.21731588893
2017-06-19,76066.7641847748,60591.95095095932,80052.87290910482,156119.63709387963
2017-06-20,75745.8882827496,60293.07866014892,79743.62626141268,155489.51454416226
2017-06-21,75717.8647408532,60246.139855009584,79946.0256295067,155663.89037035988
2017-06-22,75852.30648009176,60314.49598109141,80369.06474439659,156221.37122448836
2017-06-23,76018.65236226155,60452.894367794775,79985.22277386666,156003.87513612822
2017-06-26,76240.74123701813,60602.99339265382,80369.86978711173,156610.61102412984
2017-06-27,75811.3186954549,60297.50088218304,79938.8075981566,155750.1262936115
2017-06-28,75873.05725474379,60637.168824488035,79937.9801933412,155811.03744808497
2017-06-29,75288.25214701163,60216.70974012756,78514.1560974511,153802.40824446274
2017-06-30,75266.01959496907,60301.23359761475,78346.98198550129,153613.00158047036
2017-07-03,75261.01959496907,60296.23359761475,78231.94883073664,153492.9684257057
2017-07-04,75121.15363959887,60296.23359761475,78326.61309404238,153447.76673364124
2017-07-05,75310.83985310317,60302.25972353706,77979.86403301779,153290.70388612096
2017-07-06,74891.49439232568,59941.321343275806,77679.15801721862,152570.6524095443
2017-07-07,74795.86308011625,60031.738390154176,77912.19243682134,152708.05551693757
2017-07-10,75019.66916570993,60188.482563256766,77528.78464229197,152548.45380800188
2017-07-11,75290.92039783223,60307.09411823655,77681.56818675913,152972.48858459137
2017-07-12,75592.85097528677,60829.849279860784,78536.20168757798,154129.05266286473
2017-07-13,75564.59655167004,60903.63409924785,77650.91229762128,153215.5088492913
2017-07-14,75808.4219431145,61222.352760795286,77916.46661605705,153724.88855917155
2017-07-17,75712.5174175232,61153.57294569824,77309.12048256106,153021.63790008426
2017-07-18,75711.87131136347,61261.072500063616,77782.57339540095,153494.44470676442
2017-07-19,75969.17580765937,61516.90291267887,77706.92249601879,153676.09830367815
2017-07-20,76010.5729325514,61562.391771827184,77568.61304539753,153579.18597794895
2017-07-21,75732.27995989368,61498.1310578797,77464.27284497993,153196.55280487362
2017-07-24,75628.98156401888,61504.50435090484,77092.82319581074,152721.8047598296
2017-07-25,75635.48522551966,61451.103533468886,76847.06412388245,152482.5493494021
2017-07-26,75680.50420632529,61673.93053034911,77132.5041939134,152813.0084002387
